SampleID,EventCount,SNN_Energy_uJ,CNN_Energy_uJ
0,17735,2298.519502,42429.210624
1,19831,2301.460202,42429.210624
2,21927,2305.535830,42429.210624
3,23940,2308.630919,42429.210624
4,25950,2314.286572,42429.210624
5,27406,2317.363155,42429.210624
6,27906,2318.346297,42429.210624
7,27623,2320.900983,42429.210624
8,27086,2323.385004,42429.210624
9,26336,2323.252051,42429.210624
10,25663,2323.302407,42429.210624
11,25080,2323.133324,42429.210624
12,24599,2323.488210,42429.210624
13,24210,2322.945747,42429.210624
14,23569,2322.405686,42429.210624
15,22987,2322.233384,42429.210624
16,22398,2322.020201,42429.210624
17,21969,2319.168027,42429.210624
18,21438,2322.534462,42429.210624
19,20945,2314.579646,42429.210624
20,20514,2313.511035,42429.210624
21,20256,2319.917523,42429.210624
22,19949,2320.726669,42429.210624
23,19569,2315.529981,42429.210624
24,19229,2313.667588,42429.210624
25,19051,2308.316092,42429.210624
26,18793,2313.171632,42429.210624
27,18532,2306.791779,42429.210624
28,18164,2305.637432,42429.210624
29,17844,2301.518887,42429.210624
30,17436,2305.094600,42429.210624
31,17176,2306.176232,42429.210624
32,16984,2304.289825,42429.210624
33,16730,2299.229944,42429.210624
34,16605,2304.740719,42429.210624
35,16256,2304.467577,42429.210624
36,16019,2305.473073,42429.210624
37,15754,2302.232397,42429.210624
38,15439,2300.067154,42429.210624
39,15262,2301.213039,42429.210624
40,14879,2298.796116,42429.210624
41,14564,2295.855479,42429.210624
42,14109,2294.361968,42429.210624
43,13607,2296.720257,42429.210624
44,12912,2296.385196,42429.210624
45,12167,2291.645634,42429.210624
46,11250,2287.542215,42429.210624
47,10553,2287.710349,42429.210624
48,9889,2288.246458,42429.210624
49,41654,2381.778518,42429.210624
50,43307,2381.456277,42429.210624
51,44797,2387.197400,42429.210624
52,46485,2393.073983,42429.210624
53,48076,2400.943060,42429.210624
54,49873,2401.918537,42429.210624
55,51705,2403.600424,42429.210624
56,53641,2406.072602,42429.210624
57,55617,2403.678165,42429.210624
58,57532,2406.950009,42429.210624
59,59323,2417.213408,42429.210624
60,61291,2416.796247,42429.210624
61,63262,2417.749899,42429.210624
62,65114,2420.532588,42429.210624
63,66809,2426.722047,42429.210624
64,68017,2428.388271,42429.210624
65,69485,2435.137291,42429.210624
66,71082,2436.512167,42429.210624
67,74077,2436.727275,42429.210624
68,75805,2437.015989,42429.210624
69,78596,2448.957230,42429.210624
70,79732,2449.640836,42429.210624
71,83476,2452.355946,42429.210624
72,85520,2449.414117,42429.210624
73,88036,2442.411285,42429.210624
74,88798,2440.126300,42429.210624
75,89820,2440.244122,42429.210624
76,90673,2441.578530,42429.210624
77,91193,2441.555057,42429.210624
78,91607,2439.586703,42429.210624
79,92565,2438.405512,42429.210624
80,93781,2439.871829,42429.210624
81,94999,2440.352909,42429.210624
82,96129,2433.625103,42429.210624
83,96413,2436.574350,42429.210624
84,96757,2432.622746,42429.210624
85,96917,2449.449115,42429.210624
86,98059,2447.002177,42429.210624
87,97439,2449.824380,42429.210624
88,97048,2439.427599,42429.210624
89,95871,2432.159478,42429.210624
90,95690,2429.463745,42429.210624
91,95114,2434.187768,42429.210624
92,94613,2432.824615,42429.210624
93,94229,2429.404609,42429.210624
94,94410,2423.003561,42429.210624
95,94098,2427.713271,42429.210624
96,93622,2425.588340,42429.210624
97,93376,2420.327623,42429.210624
98,93182,2417.253549,42429.210624
99,93523,2417.257802,42429.210624
100,93873,2419.295394,42429.210624
101,94295,2422.791528,42429.210624
102,94857,2422.354315,42429.210624
103,95294,2429.400352,42429.210624
104,95938,2428.369049,42429.210624
105,96794,2429.414980,42429.210624
106,98324,2436.100540,42429.210624
107,99905,2446.826291,42429.210624
108,101958,2453.822009,42429.210624
109,103772,2465.936955,42429.210624
110,104996,2469.946605,42429.210624
111,105447,2462.323868,42429.210624
112,106347,2460.757228,42429.210624
113,108018,2465.733131,42429.210624
114,109968,2465.741112,42429.210624
115,112660,2476.786432,42429.210624
116,116577,2470.410716,42429.210624
117,118077,2470.915772,42429.210624
118,118845,2475.027202,42429.210624
119,117807,2480.989752,42429.210624
120,119369,2484.508191,42429.210624
121,105350,2490.048802,42429.210624
122,67824,2481.360539,42429.210624
123,29682,2464.791527,42429.210624
124,44423,2313.475419,42429.210624
125,56498,2353.489203,42429.210624
126,56498,2464.751848,42429.210624
127,30256,2476.506846,42429.210624
128,50651,2335.406863,42429.210624
129,85343,2400.090581,42429.210624
130,110614,2493.330208,42429.210624
131,104970,2490.951061,42429.210624
132,100077,2488.254025,42429.210624
133,96054,2485.511906,42429.210624
134,92171,2482.922426,42429.210624
135,87662,2478.075825,42429.210624
136,83055,2474.449191,42429.210624
137,78186,2473.128576,42429.210624
138,73575,2466.324269,42429.210624
139,69007,2459.953369,42429.210624
140,65539,2451.599451,42429.210624
141,62959,2438.195741,42429.210624
142,61966,2431.706737,42429.210624
143,61711,2429.945178,42429.210624
144,62466,2426.419347,42429.210624
145,62564,2430.965578,42429.210624
146,63092,2428.263820,42429.210624
147,64107,2428.330849,42429.210624
148,64867,2427.700284,42429.210624
149,65352,2430.094489,42429.210624
150,65214,2430.974840,42429.210624
151,65539,2432.072155,42429.210624
152,67108,2431.649226,42429.210624
153,67422,2435.151009,42429.210624
154,68727,2435.440265,42429.210624
155,67882,2437.850601,42429.210624
156,67600,2433.807615,42429.210624
157,66442,2429.494281,42429.210624
158,66724,2428.816127,42429.210624
159,71421,2434.578328,42429.210624
160,74325,2437.602643,42429.210624
161,74139,2437.534547,42429.210624
162,69641,2440.322275,42429.210624
163,66327,2436.251415,42429.210624
164,65946,2438.524771,42429.210624
165,66608,2439.455823,42429.210624
166,66553,2432.190236,42429.210624
167,68144,2428.667960,42429.210624
168,68638,2427.583028,42429.210624
169,69654,2431.135484,42429.210624
170,69701,2433.064950,42429.210624
171,70451,2431.399666,42429.210624
172,71484,2430.523570,42429.210624
173,72986,2433.311162,42429.210624
174,75194,2427.642046,42429.210624
175,77077,2425.030571,42429.210624
176,78347,2423.582119,42429.210624
177,78294,2417.159408,42429.210624
178,77265,2410.669980,42429.210624
179,74467,2406.003913,42429.210624
180,70161,2401.707791,42429.210624
181,63550,2400.163018,42429.210624
182,55578,2385.648367,42429.210624
183,47634,2381.164394,42429.210624
184,41113,2376.577280,42429.210624
185,39392,2376.762578,42429.210624
186,43873,2383.205454,42429.210624
187,48652,2405.557931,42429.210624
188,52873,2407.156382,42429.210624
189,57047,2431.927240,42429.210624
190,59836,2432.068580,42429.210624
191,61732,2453.994660,42429.210624
192,65499,2472.808794,42429.210624
193,68511,2482.222939,42429.210624
194,69927,2508.222260,42429.210624
195,67362,2498.685514,42429.210624
196,64618,2480.859025,42429.210624
197,65492,2463.883809,42429.210624
198,68013,2476.706035,42429.210624
199,73509,2506.650011,42429.210624
